station_id,status,return_code,attempts,duration_s,log_path,output_snippet
2,ok,0,1,3.62,logs/station_2.log,"Database initialized.
Total records available: 20360

Training model for Station 2...
  Epoch 1/30 | Train Loss: 0.2484 | Val Loss: 0.0624
    -> Saved models/model_station_2.pt and models/scaler_station_2.joblib
  Epoch 2/30 | Train Loss: 0.0674 | Val Loss: 0.0425
    -> Saved models/model_station_2.pt and models/scaler_station_2.joblib
  Epoch 3/30 | Train Loss: 0.0465 | Val Loss: 0.0417
    -> "
1,ok,0,1,3.62,logs/station_1.log,"Database initialized.
Total records available: 20360

Training model for Station 1...
  Epoch 1/30 | Train Loss: 0.3107 | Val Loss: 0.0908
    -> Saved models/model_station_1.pt and models/scaler_station_1.joblib
  Epoch 2/30 | Train Loss: 0.0776 | Val Loss: 0.0481
    -> Saved models/model_station_1.pt and models/scaler_station_1.joblib
  Epoch 3/30 | Train Loss: 0.0484 | Val Loss: 0.0346
    -> "
4,ok,0,1,3.43,logs/station_4.log,"Database initialized.
Total records available: 20360

Training model for Station 4...
  Epoch 1/30 | Train Loss: 0.2649 | Val Loss: 0.0530
    -> Saved models/model_station_4.pt and models/scaler_station_4.joblib
  Epoch 2/30 | Train Loss: 0.0756 | Val Loss: 0.0527
    -> Saved models/model_station_4.pt and models/scaler_station_4.joblib
  Epoch 3/30 | Train Loss: 0.0595 | Val Loss: 0.0548
  Epoch"
3,ok,0,1,3.43,logs/station_3.log,"Database initialized.
Total records available: 20360

Training model for Station 3...
  Epoch 1/30 | Train Loss: 0.1936 | Val Loss: 0.0502
    -> Saved models/model_station_3.pt and models/scaler_station_3.joblib
  Epoch 2/30 | Train Loss: 0.0625 | Val Loss: 0.0475
    -> Saved models/model_station_3.pt and models/scaler_station_3.joblib
  Epoch 3/30 | Train Loss: 0.0514 | Val Loss: 0.0541
  Epoch"
6,ok,0,1,3.44,logs/station_6.log,"Database initialized.
Total records available: 20360

Training model for Station 6...
  Epoch 1/30 | Train Loss: 0.2793 | Val Loss: 0.1065
    -> Saved models/model_station_6.pt and models/scaler_station_6.joblib
  Epoch 2/30 | Train Loss: 0.0764 | Val Loss: 0.0717
    -> Saved models/model_station_6.pt and models/scaler_station_6.joblib
  Epoch 3/30 | Train Loss: 0.0517 | Val Loss: 0.0594
    -> "
5,ok,0,1,3.51,logs/station_5.log,"Database initialized.
Total records available: 20360

Training model for Station 5...
  Epoch 1/30 | Train Loss: 0.2643 | Val Loss: 0.0632
    -> Saved models/model_station_5.pt and models/scaler_station_5.joblib
  Epoch 2/30 | Train Loss: 0.0641 | Val Loss: 0.0432
    -> Saved models/model_station_5.pt and models/scaler_station_5.joblib
  Epoch 3/30 | Train Loss: 0.0474 | Val Loss: 0.0354
    -> "
7,ok,0,1,3.33,logs/station_7.log,"Database initialized.
Total records available: 20360

Training model for Station 7...
  Epoch 1/30 | Train Loss: 0.1931 | Val Loss: 0.0593
    -> Saved models/model_station_7.pt and models/scaler_station_7.joblib
  Epoch 2/30 | Train Loss: 0.0623 | Val Loss: 0.0440
    -> Saved models/model_station_7.pt and models/scaler_station_7.joblib
  Epoch 3/30 | Train Loss: 0.0497 | Val Loss: 0.0494
  Epoch"
8,ok,0,1,3.32,logs/station_8.log,"Database initialized.
Total records available: 20360

Training model for Station 8...
  Epoch 1/30 | Train Loss: 0.2249 | Val Loss: 0.1026
    -> Saved models/model_station_8.pt and models/scaler_station_8.joblib
  Epoch 2/30 | Train Loss: 0.0782 | Val Loss: 0.0655
    -> Saved models/model_station_8.pt and models/scaler_station_8.joblib
  Epoch 3/30 | Train Loss: 0.0632 | Val Loss: 0.0566
    -> "
9,ok,0,1,3.32,logs/station_9.log,"Database initialized.
Total records available: 20360

Training model for Station 9...
  Epoch 1/30 | Train Loss: 0.3570 | Val Loss: 0.0643
    -> Saved models/model_station_9.pt and models/scaler_station_9.joblib
  Epoch 2/30 | Train Loss: 0.0944 | Val Loss: 0.0994
  Epoch 3/30 | Train Loss: 0.0775 | Val Loss: 0.0522
    -> Saved models/model_station_9.pt and models/scaler_station_9.joblib
  Epoch"
10,ok,0,1,3.26,logs/station_10.log,"Database initialized.
Total records available: 20360

Training model for Station 10...
  Epoch 1/30 | Train Loss: 0.1857 | Val Loss: 0.0827
    -> Saved models/model_station_10.pt and models/scaler_station_10.joblib
  Epoch 2/30 | Train Loss: 0.0665 | Val Loss: 0.0592
    -> Saved models/model_station_10.pt and models/scaler_station_10.joblib
  Epoch 3/30 | Train Loss: 0.0577 | Val Loss: 0.0533
  "
11,ok,0,1,3.32,logs/station_11.log,"Database initialized.
Total records available: 20360

Training model for Station 11...
  Epoch 1/30 | Train Loss: 0.2127 | Val Loss: 0.0984
    -> Saved models/model_station_11.pt and models/scaler_station_11.joblib
  Epoch 2/30 | Train Loss: 0.0658 | Val Loss: 0.0431
    -> Saved models/model_station_11.pt and models/scaler_station_11.joblib
  Epoch 3/30 | Train Loss: 0.0478 | Val Loss: 0.0378
  "
12,ok,0,1,3.32,logs/station_12.log,"Database initialized.
Total records available: 20360

Training model for Station 12...
  Epoch 1/30 | Train Loss: 0.3204 | Val Loss: 0.0608
    -> Saved models/model_station_12.pt and models/scaler_station_12.joblib
  Epoch 2/30 | Train Loss: 0.0857 | Val Loss: 0.0519
    -> Saved models/model_station_12.pt and models/scaler_station_12.joblib
  Epoch 3/30 | Train Loss: 0.0370 | Val Loss: 0.0300
  "
13,ok,0,1,3.35,logs/station_13.log,"Database initialized.
Total records available: 20360

Training model for Station 13...
  Epoch 1/30 | Train Loss: 0.1857 | Val Loss: 0.0395
    -> Saved models/model_station_13.pt and models/scaler_station_13.joblib
  Epoch 2/30 | Train Loss: 0.0590 | Val Loss: 0.0347
    -> Saved models/model_station_13.pt and models/scaler_station_13.joblib
  Epoch 3/30 | Train Loss: 0.0428 | Val Loss: 0.0306
  "
